,,,,,ibg-23,ibg-23,ibg-25,ibg-25,ibg-25
,,,,,TAX BREAKDOWN,TAX BREAKDOWN,INVOICE LINE,INVOICE LINE,INVOICE LINE
,,,,,0,1,0,1,2
ibt-001,1,1..1,Invoice number,TOSL110,,,,,
ibt-002,1,1..1,Invoice issue date ,2013-04-10,,,,,
ibt-003,1,1..1,Invoice type code ,380,,,,,
ibt-005,1,1..1,Invoice currency code,DKK,,,,,
ibt-009,1,0..1,Payment due date ,2013-05-10,,,,,
ibg-02,1,1..1,PROCESS CONTROL,,,,,,
ibt-024,2,1..1,Specification identifier,urn:peppol:pint:billing-3.0@jp:peppol-1,,,,,
ibg-04,1,1..1,SELLER,,,,,,
ibt-027,2,1..1,Seller name,SellerCompany,,,,,
ibt-031,2,0..1,Seller TAX identifier,DK123456789MVA,,,,,
ibt-031-2,3,1..1,Tax scheme,VAT,,,,,
ibt-032,2,0..1,Seller TAX registration identifier,DK123456789MVA,,,,,
ibt-040,3,1..1,Seller country code ,DK,,,,,
ibg-07,1,1..1,BUYER ,,,,,,
ibt-044,2,1..1,Buyer name ,Buyercompany ltd,,,,,
ibg-08,2,1..1,BUYER POSTAL ADDRESS,,,,,,
ibt-055,3,1..1,Buyer country code ,DK,,,,,
ibg-22,1,1..1,DOCUMENT TOTALS,,,,,,
ibt-106,2,1..1,Sum of Invoice line net amount,4000.00,,,,,
ibt-109,2,1..1,Invoice total amount without TAX,4000.00,,,,,
ibt-110,2,0..1,Invoice total TAX amount,675.00,,,,,
ibt-112,2,1..1,Invoice total amount with TAX,4675.00,,,,,
ibt-115,2,1..1,Amount due for payment,4675.00,,,,,
ibg-23,1,1..n,TAX BREAKDOWN,,,,,,
ibt-116,2,1..1,TAX category taxable amount,,1500.00,2500.00,,,
ibt-117,2,1..1,TAX category tax amount,,375.00,300.00,,,
ibt-118,2,1..1,TAX category code ,,S,S,,,
ibt-119,2,0..1,TAX category rate,,25,12,,,
ibt-198,2,1..1,Tax scheme,,VAT,VAT,,,
ibg-25,1,1..n,INVOICE LINE,,,,,,
ibt-126,2,1..1,Invoice line identifier,,,,1,2,3
ibt-129,2,1..1,Invoiced quantity,,,,1000,100,500
ibt-130,2,1..1,Invoiced quantity unit of measure code,,,,EA,EA,EA
ibt-131,2,1..1,Invoice line net amount ,,,,1000.00,500.00,2500.00
ibg-29,2,1..1,PRICE DETAILS,,,,,,
ibt-146,3,1..1,Item net price,,,,1.00,5.00,5.00
ibg-30,2,1..n,LINE TAX INFORMATION,,,,,,
ibt-151,3,1..1,Invoiced item TAX category code,,,,S,S,S
ibt-152,3,0..1,Invoiced item TAX rate,,,,25,25,12
ibt-167,3,0..1,Tax Scheme,,,,VAT,VAT,VAT
ibg-31,2,1..1,ITEM INFORMATION,,,,,,
ibt-153,3,1..1,Item name ,,,,Printing paper,Fountain Pen,American Cookies
